id,name,location
1,نیویورک,""
2,لس‌آنجلس,""
3,شیکاگو,""
4,هیوستون,""
5,فیلادلفیا,""
6,فینیکس,""
7,سن‌آنتونیو,""
8,سن دیگو,""
9,دالاس,""
10,سن خوزه,""
11,آستین,""
12,جکسون‌ویل,""
13,سانفرانسیسکو,""
14,ایندیانا پلیس,""
15,کلمبوس,""
16,میامی,""
17,سیاتل، واشینگتن[h],""
18,اکلاهماسیتی[g],""
19,سالت لیک سیتی,""
20,دیترویت,""
21,بالتیمور,""
22,بوستون,""
23,سیاتل، واشینگتن,""
24,واشینگتن دی. سی.,""
25,نشویل [g],""
26,دنور,""
27,لویی‌ویل [g],""
28,میلواکی,""
29,پورتلند,""
30,لاس‌وگاس,""
31,اکلاهوما سیتی,""
32,آلبوکرکی,""
33,توسان,""
34,فرزنو,""
35,ساکرامنتو,""
36,لانگ بیچ,""
37,کانزاس‌سیتی,""
38,میزا,""
39,ویرجینیابیچ [e],""
40,آتلانتا,""
41,کلرادو اسپرینگز,""
42,اوماها,""
43,رالی,""
44,میامی,""
45,کلیولند,""
46,تالسا,""
47,اوکلند,""
48,مینیاپولیس,""
49,ویچیتا,""
50,آرلینگتون,""
51,بیکرزفیلد,""
52,نیواورلئان,""
53,هونولولو [b],""
54,آناهایم,""
55,تمپا,""
56,آورورا,""
57,سانتا آنا,""
58,سنت لوئیس [d],""
59,پیتسبورگ,""
60,کورپس کریستی,""
61,ریورساید,""
62,سینسینتی,""
63,لکزینگتون,""
64,انکوریج,""
65,استاکتون,""
66,تولیدو,""
67,سینت‌پال,""
68,نیوآرک,""
69,گرینزبورو,""
70,بوفالو,""
71,پلانو,""
72,لینکلن,""
73,هندرسون,""
74,فورت وین,""
75,جرزی سیتی,""
76,سن پترزبورگ,""
77,چولا ویستا,""
78,نورفوک [e],""
79,اورلندو,""
80,چندلر,""
81,لاریدو,""
82,مدیسن,""
83,وینستون-سیلم,""
84,لاباک,""
85,باتون‌روژ,""
86,دورهام,""
87,گارلند,""
88,گلندیل,""
89,رینو,""
90,هیالیا,""
91,Chesapeake [e],""
92,سکاتزدیل,""
93,North Las Vegas,""
94,ایروینگ,""
95,فریمانت,""
96,ارواین,""
97,برمینگهم,""
98,روچستر,""
99,سن برناردینو,""
100,اسپوکین,""
101,گیلبرت,""
102,آرلینگتون [c],""
103,مونتگمری,""
104,بویزی,""
105,ریچموند [e],""
106,دی موین,""
107,مودستو,""
108,فییتویل,""
109,شریوپورت,""
110,اکران,""
111,تاکوما,""
112,آرورا,""
113,اوکس نارد,""
114,فونتانا,""
115,یانکرز,""
116,آگوستا [g],""
117,موبیل,""
118,لیتل راک,""
119,مورنو ولی,""
120,گلندیل,""
121,آماریلو,""
122,هانتینگتون بیچ,""
123,کولومبوس,""
124,گرند رپیدز,""
125,سالت‌لیک‌سیتی,""
126,تالاهاسی,""
127,ورچستر,""
128,نیوپورت نیوز [e],""
129,هانتسویل,""
130,ناکسویل,""
131,پراویدنس,""
132,سانتا کلاریتا,""
133,گرند پراری,""
134,براونزویل,""
135,جکسون,""
136,اوورلند پارک,""
137,گاردن گروو,""
138,سانتا روزا,""
139,چاتانوگا,""
140,اوشن ساید,""
141,فورت لادردیل,""
142,رانچو کوکامونگا,""
143,پورت سنت لوسی,""
144,اونتاریو,""
145,ونکوور,""
146,تمپی,""
147,اسپرینگفیلد,""
148,لان کاستر,""
149,یوجین,""
150,پمبروک پاینز,""
151,سیلم,""
152,کیپ کورال,""
153,پیوریا,""
154,سو فالز,""
155,اسپرینگفیلد,""
156,ال کگروو,""
157,راک‌فورد,""
158,پالم دیل,""
159,کورونا,""
160,سالیناس,""
161,پومونا,""
162,پاسادنا,""
163,جولیت,""
164,پترسون,""
165,کانزاس,""
166,تورانس,""
167,سیراکیوز,""
168,بریجپورت,""
169,هیوارد,""
170,فورت کالینز,""
171,اسکاندیدو,""
172,لیکوود,""
173,ناپرس‌ویل,""
174,دیتون,""
175,هالیوود,""
176,سانی ویل,""
177,الکساندریا [f],""
178,مسکیت,""
179,همپتون [f],""
180,پاسادینا,""
181,اورنج,""
182,ساوانا,""
183,کری,""
184,فولرتون,""
185,وارن,""
186,کلارک‌اسویل,""
187,مک‌کینی,""
188,مک‌آلن,""
189,نیوهیون,""
190,استرلینگ هایتز,""
191,وست ولی سیتی,""
192,کلمبیا,""
193,کایلین,""
194,توپیکا,""
195,تاوزند اوکس,""
196,سدار راپیدز,""
197,اوولیتا,""
198,الیزابت,""
199,ویکو,""
200,هارتفورد,""
201,ویسالیا,""
202,گینس‌ویل,""
203,سیمی ولی,""
204,استمفورد,""
205,بلویو,""
206,کانکورد,""
207,میرامار,""
208,کورال اسپرینگز,""
209,لفیت,""
210,چارلستون,""
211,کرولتون,""
212,رزویل,""
213,سورنتون,""
214,بومانت,""
215,آلن‌تاون,""
216,سورپرایز,""
217,اونسویل,""
218,ابیلین,""
219,فریسکو,""
220,ایندیپندنس,""
221,سانتا کلارا,""
222,اسپرینگ‌فیلد,""
223,والهو,""
224,ویکتور ویل,""
225,آتنز [g],""
226,پئوریا,""
227,لنسینگ,""
228,ان آربر,""
229,ال مونته,""
230,دنتون,""
231,برکلی,""
232,پرووو,""
233,دونی,""
234,میدلند,""
235,نورمن,""
236,واتربری,""
237,کوستا مسا,""
238,اینگل وود,""
239,منچستر,""
240,مورفریزبورو,""
241,کلمبیا,""
242,الگن,""
243,کلیرواتر,""
244,میامی,""
245,روچستر، مینه‌سوتا,""
246,پوابلو,""
247,لوول,""
248,ویلمینگتن,""
249,آروادا,""
250,ونتورا,""
251,وستمینستر,""
252,وست کووینا,""
253,گرشام,""
254,فارگو,""
255,نورواک,""
256,کارلس بد,""
257,فیرفیلد,""
258,کمبریج,""
259,ویچیتا فالز,""
